movieCd,moviePartNm,peopleCd
20172603,작사/작곡/편곡,10005774
20172603,음악 믹싱/레코딩,10005774
20154909,음악,10005774
20154909,음악 믹싱/레코딩,10005774
20154909,작사/작곡/편곡,10005774
20152371,음악,10005774
20152371,작사/작곡/편곡,10005774
20152371,음악진행,10005774
20152371,음악 믹싱/레코딩,10005774
20156559,음악,10005774
20156559,음악 믹싱/레코딩,10005774
20156559,음악 믹싱/레코딩,10005774
20156559,음악 믹싱/레코딩,10005774
20154803,음악 믹싱/레코딩,10005774
20142621,음악,10005774
20142621,작사/작곡/편곡,10005774
20142621,음악 믹싱/레코딩,10005774
20142621,음악 믹싱/레코딩,10005774
20152782,음악 믹싱/레코딩,10005774
20152782,음악 믹싱/레코딩,10005774
20140241,음악,10005774
20140241,음악 믹싱/레코딩,10005774
20140241,음악,10005774
20140241,음악진행,10005774
20142402,작사/작곡/편곡,10005774
20142402,음악,10005774
20142402,음악 믹싱/레코딩,10005774
20142402,음악 믹싱/레코딩,10005774
20141614,음악,10005774
20141614,작사/작곡/편곡,10005774
20141614,음악 믹싱/레코딩,10005774
20147930,음악,10005774
20147930,작사/작곡/편곡,10005774
20147930,음악 믹싱/레코딩,10005774
20124938,음악,10005774
20124938,작사/작곡/편곡,10005774
20124938,작사/작곡/편곡,10005774
20124938,음악진행,10005774
20124938,음악 믹싱/레코딩,10005774
20139981,음악,10005774
20139981,음악,10005774
20134123,음악,10005774
20134123,음악 믹싱/레코딩,10005774
20134123,작사/작곡/편곡,10005774
20134123,작사/작곡/편곡,10005774
20128690,음악,10005774
20128690,작사/작곡/편곡,10005774
20128690,음악 믹싱/레코딩,10005774
20124079,음악,10005774
20124079,작사/작곡/편곡,10005774
20124079,음악 믹싱/레코딩,10005774
20124063,음악,10005774
20124063,음악 믹싱/레코딩,10005774
20113554,음악,10005774
20113554,작사/작곡/편곡,10005774
20110303,음악진행,10005774
20110303,작사/작곡/편곡,10005774
20119627,작사/작곡/편곡,10005774
20119627,음악,10005774
