movieCd,genreAlt
20217928,드라마
20217928,액션
20218062,드라마
20218062,성인물(에로)
20218171,드라마
20218171,가족
20216501,드라마
20216501,코미디
20218026,드라마
20218026,어드벤처
20218051,성인물(에로)
20218170,기타
20216124,액션
20216124,범죄
20160743,다큐멘터리
20218167,성인물(에로)
20218167,멜로/로맨스
20218166,성인물(에로)
20218166,멜로/로맨스
20218164,액션
20218164,사극
20217748,멜로/로맨스
20217856,코미디
20217856,공포(호러)
20217675,미스터리
20217675,공포(호러)
20216904,멜로/로맨스
20216494,코미디
20216494,드라마
20196759,다큐멘터리
20204229,드라마
20204229,판타지
20215461,기타
20202368,가족
20202368,드라마
20217545,액션
20197801,애니메이션
20217684,공포(호러)
20216368,드라마
20216368,멜로/로맨스
20214863,드라마
20214863,기타
20183422,
20201784,
20216843,드라마
20216843,멜로/로맨스
20209269,다큐멘터리
20207567,다큐멘터리
20217766,미스터리
20217766,범죄
20217766,드라마
20217426,드라마
20209627,드라마
20040487,스릴러
20010241,멜로/로맨스
20010241,코미디
20205729,판타지
20205729,드라마
20218149,드라마
20218149,미스터리
20203204,드라마
20218147,드라마
20218145,드라마
20218144,드라마
20218075,멜로/로맨스
20218075,드라마
20218074,멜로/로맨스
20218074,드라마
20218076,멜로/로맨스
20218076,드라마
20218077,멜로/로맨스
20218077,드라마
20218071,멜로/로맨스
20218071,드라마
20218072,멜로/로맨스
20218072,드라마
20218068,멜로/로맨스
20218068,드라마
20218069,멜로/로맨스
20218069,드라마
20218128,기타
20196775,드라마
20196775,코미디
20191785,다큐멘터리
20199144,드라마
20199144,판타지
20201691,SF
20201691,가족
20201691,멜로/로맨스
19800129,드라마
20218120,판타지
20218120,액션
20218118,범죄
20218118,공포(호러)
20218118,드라마
20218118,가족
20218118,스릴러
20176704,코미디
20216894,액션
20216894,드라마
20217531,드라마
20202066,드라마
20207226,가족
20217891,성인물(에로)
20192121,드라마
20218046,드라마
20202434,드라마
20215465,드라마
19850008,사극
20218117,드라마
20218116,드라마
20218115,드라마
